aircraft_name,image_type,source_url,source_domain,local_file_path
AS355,interior,https://tagassets.blob.core.windows.net/media/n3mlhq30/airbus-as355_int1.jpg,tagassets.blob.core.windows.net,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\interior_05.jpg
AS355,interior,https://images.squarespace-cdn.com/content/v1/5fd153aed54b677a1333aca2/77cb855a-6fa3-40b5-92e3-cb5641e3884d/AS355+Interior+1.jpg,images.squarespace-cdn.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\interior_06.jpg
AS355,interior,https://uniq.la/images/M5ekNkUGTo.jpg,uniq.la,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\interior_07.jpg
AS355,interior,https://www.aircharter-croatia.com/img/website/aircraft_photos/thumbs/helicopter-croatia-airbus-as355-f2-int1.jpg,www.aircharter-croatia.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\interior_08.jpg
AS355,interior,https://andersonair.ca/app/uploads/2025/11/C-FXFX-Int-Cabin-Front-screen-small-900x750.jpg,andersonair.ca,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\interior_09.jpg
AS355,interior,https://aerocorner.com/wp-content/uploads/1381.jpg,aerocorner.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS355\interior_10.jpg
AS365,exterior,https://airlinesconnection.com/app/uploads/2018/10/airbus-helicopters-as365-dauphin-2-exterior-airlines-connection.jpg,airlinesconnection.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\exterior_01.jpg
AS365,exterior,http://blueberryaviation.com/wp-content/uploads/2025/11/AH-1238-GORGEOUS-EXTERIOR.jpg,blueberryaviation.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\exterior_02.jpg
AS365,exterior,https://www.aeroasset.com/img/pic_big_01/Airbus-AS365N3-6527_01_2022x1130.jpg,www.aeroasset.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\exterior_03.jpg
AS365,exterior,https://www.aeroasset.com/img/pic_big_06/Airbus-AS365N3-6527_06_2022x1130.jpg,www.aeroasset.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\exterior_04.jpg
AS365,exterior,https://live.staticflickr.com/65535/53360211331_5128097345_b.jpg,live.staticflickr.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\exterior_05.jpg
AS365,interior,https://www.helistar.eu/wp-content/uploads/2024/05/as-365_sx-hdy_gallery-1.jpg,www.helistar.eu,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\interior_01.jpg
AS365,interior,https://1.bp.blogspot.com/-_wsR5AWHujg/XgDfcmRaTMI/AAAAAAAADNQ/EE9S8Cy_IEkbw3H2AoFLs-fwMobXCwn2QCEwYBhgL/s640/Airbus-AS365-N3%2B-Dauphin-interior.JPG,1.bp.blogspot.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\interior_02.jpg
AS365,interior,https://images.squarespace-cdn.com/content/v1/675ed42a8d8c5826dfb2f71e/b0261542-4651-48a5-a9f7-ef9418dc8443/Airbus+AS365N2+Dauphin+Interior.png?format=2500w,images.squarespace-cdn.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\interior_03.jpg
AS365,interior,https://www.beverlyhillsmagazine.com/wp-content/uploads/Beverly-Hills-Magazine-Multipurpose-Helicopter_-The-Eurocopter-AS365-N3-min-780x487.jpg,www.beverlyhillsmagazine.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\interior_04.jpg
AS365,interior,https://www.jamesbondlifestyle.com/sites/default/files/styles/fancybox_popup/public/images/product/au059-eurocopter-as365-dauphin-n2-g-lcpl-details.jpg?itok=4-Mm8J87,www.jamesbondlifestyle.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\interior_05.jpg
AS365,interior,https://images.aircharterservice.com/global/aircraft-guide/private-charter/eurocopter-as365-2.jpg,images.aircharterservice.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\interior_06.jpg
AS365,interior,https://i.pinimg.com/originals/07/f2/ac/07f2acf57449ae327de937a75d256cf9.jpg,i.pinimg.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\interior_07.jpg
AS365,interior,https://aviamarket.aero/upload/iblock/85f/bwvmxhgkal3kug0znqh5nu4o6z1crv68.jpg,aviamarket.aero,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\interior_08.jpg
AS365,interior,https://www.aeroasset.com/img/pic_big_09/Airbus-AS365N3-6527_09_2022x1130.jpg,www.aeroasset.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\interior_09.jpg
AS365,interior,https://resources.globalair.com/specs/images/Helicopter/Eurocopter/Dauphin/AS365N-3/Interior/05_EurocopterAS365N3_sn6688_i.jpg?w=650&h=430&mode=max,resources.globalair.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365\interior_10.jpg
AS365N2 Dauphin,exterior,https://avia-dejavu.net/DHOAR.JPG,avia-dejavu.net,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\exterior_01.jpg
AS365N2 Dauphin,exterior,https://airlinesconnection.com/app/uploads/2018/10/airbus-helicopters-as365-dauphin-2-exterior-airlines-connection.jpg,airlinesconnection.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\exterior_02.jpg
AS365N2 Dauphin,exterior,https://live.staticflickr.com/65535/53360211331_5128097345_b.jpg,live.staticflickr.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\exterior_03.jpg
AS365N2 Dauphin,exterior,http://www.avia-dejavu.net/images/D-HOAR.jpg,www.avia-dejavu.net,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\exterior_04.jpg
AS365N2 Dauphin,exterior,https://www.flyfinland.fi/photos/original/18332.jpg,www.flyfinland.fi,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\exterior_05.jpg
AS365N2 Dauphin,interior,https://images.squarespace-cdn.com/content/v1/675ed42a8d8c5826dfb2f71e/b0261542-4651-48a5-a9f7-ef9418dc8443/Airbus+AS365N2+Dauphin+Interior.png?format=2500w,images.squarespace-cdn.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\interior_01.jpg
AS365N2 Dauphin,interior,https://images.aircharterservice.com/global/aircraft-guide/private-charter/eurocopter-as365-2.jpg,images.aircharterservice.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS365N2 Dauphin\interior_02.jpg
